19,7,255,140,0,27,194,229,0,0,0,0,255,254,3,216,255,123,31,33,0,102,0,131,0,175,
19,5,255,134,0,24,194,228,0,0,0,0,255,254,3,214,255,121,31,41,0,101,0,132,0,175,
19,3,255,127,0,22,194,228,0,0,0,0,255,254,3,213,255,118,31,44,0,101,0,132,0,175,
19,1,255,121,0,20,194,227,0,0,0,0,255,254,3,212,255,118,31,44,0,103,0,130,0,175,
18,255,255,115,0,17,194,227,0,0,0,0,255,254,3,216,255,122,31,41,0,103,0,131,0,175,
18,252,255,109,0,15,194,226,0,0,0,0,255,254,3,212,255,124,31,42,0,102,0,133,0,175,
18,250,255,103,0,13,194,225,0,0,0,0,255,254,3,209,255,127,31,37,0,102,0,132,0,175,
18,248,255,97,0,10,194,225,0,0,0,0,255,254,3,212,255,129,31,39,0,102,0,131,0,174,
18,194,254,211,255,209,194,210,0,0,0,0,255,254,3,224,255,126,31,44,0,102,0,132,0,175,
18,192,254,206,255,207,194,210,0,0,0,0,255,254,3,223,255,129,31,34,0,102,0,132,0,175,
18,190,254,201,255,205,194,209,0,0,0,0,255,254,3,221,255,131,31,43,0,103,0,131,0,175,
18,188,254,196,255,203,194,208,0,0,255,255,255,254,3,218,255,136,31,48,0,103,0,131,0,175,
18,185,254,191,255,201,194,208,0,0,0,0,255,254,3,217,255,134,31,52,0,102,0,134,0,176,
18,183,254,186,255,200,194,207,0,0,0,0,255,254,3,216,255,137,31,56,0,102,0,131,0,175,
18,181,254,181,255,198,194,207,0,0,0,0,255,254,3,219,255,132,31,47,0,102,0,132,0,175,
18,179,254,177,255,196,194,206,0,0,0,0,255,254,3,220,255,125,31,43,0,102,0,132,0,176,
18,177,254,172,255,194,194,206,0,0,0,0,255,254,3,220,255,123,31,37,0,102,0,132,0,174,
18,175,254,167,255,192,194,205,0,0,0,0,255,254,3,218,255,124,31,36,0,102,0,130,0,175,
18,173,254,162,255,191,194,205,0,0,0,0,255,254,3,219,255,129,31,27,0,101,0,132,0,175,
